id,Ram,Dhananjay,Guru,Ashutosh
ChittaBaral--AshrafGaffar,N,Y,N,N
ChittaBaral--KevinGary,N,Y,N,N
ChittaBaral--EsmaGel,N,N,N,N
ChittaBaral--JavierGonzalezSanchez,N,Y,N,N
ChittaBaral--SandeepGupta,N,N,N,N
ChittaBaral--DianneHansford,N,N,N,N
ChittaBaral--JingruiHe,N,N,N,N
ChittaBaral--DijiangHuang,N,Y,N,N
ChittaBaral--SubbaraoKambhampati,N,N,N,N
ChittaBaral--JoohyungLee,Y,Y,Y,Y
ChittaBaral--YannHangLee,N,N,N,N
ChittaBaral--BaoxinLi,N,N,N,N
ChittaBaral--TimLindquist,N,Y,N,N
ChittaBaral--RossMaciejewski,N,Y,N,N
ChittaBaral--RyanMeuth,N,N,N,N
ChittaBaral--PituMirchandani,N,N,N,N
ChittaBaral--BrianNelson,N,N,N,N
ChittaBaral--RongPan,N,N,N,N
ChittaBaral--SethuramanPanchanathan,N,Y,N,N
ChittaBaral--PaoloPapotti,N,Y,N,N
ChittaBaral--GiuliaPedrielli,N,N,N,N
ChittaBaral--FengboRen,N,Y,N,N
ChittaBaral--AndreaWRicha,N,N,N,N
ChittaBaral--GeorgeRunger,N,Y,N,N
ChittaBaral--HessamSarjoughian,N,Y,N,N
ChittaBaral--MohamedSarwat,N,Y,N,N
ChittaBaral--ArunabhaSen,N,N,N,N
ChittaBaral--PauloShakarian,N,Y,N,N
ChittaBaral--AviralShrivastava,N,N,N,N
ChittaBaral--DanShunk,N,N,N,N
ChittaBaral--VioletSyrotiuk,N,N,N,N
ChittaBaral--HanghangTong,N,N,N,N
ChittaBaral--KurtVanLehn,Y,N,N,N
ChittaBaral--JReneVillalobos,N,N,N,N
ChittaBaral--SarmaVrudhula,N,N,N,N
ChittaBaral--ErinWalker,N,Y,N,N
ChittaBaral--CaroleJeanWu,N,N,N,N
ChittaBaral--TeresaWu,N,Y,N,N
ChittaBaral--GuoliangXue,N,Y,N,N
ChittaBaral--YezhouYang,N,N,N,N
ChittaBaral--StephenSYau,N,N,N,N
RidaBazzi--HeniBenAmor,N,N,N,N
RidaBazzi--NadyaBliss,Y,Y,Y,N
RidaBazzi--KSelcukCandan,N,Y,N,N
RidaBazzi--YinongChen,Y,Y,Y,Y
RidaBazzi--CharlesColbourn,N,Y,N,N
RidaBazzi--JamesCollofello,N,N,N,N
RidaBazzi--ParthaDasgupta,Y,N,Y,Y
RidaBazzi--HasanDavulcu,N,Y,N,N
RidaBazzi--AdamDoupe,Y,N,Y,Y
RidaBazzi--GeorgiosFainekos,N,Y,N,N
RidaBazzi--AshrafGaffar,N,N,N,N
RidaBazzi--KevinGary,N,Y,N,N
RidaBazzi--EsmaGel,N,Y,N,N
